disasterType,id,disasterNumber,state,incidentBeginDate,placeCode,declaredCountyArea,incidentType
EM,57f69293c7e7c327077ff578,3377,FL,2016-10-03T16:00:00.000Z,99117,Seminole (County),Hurricane
EM,57f69293c7e7c327077ff574,3377,FL,2016-10-03T16:00:00.000Z,99019,Clay (County),Hurricane
EM,57f69293c7e7c327077ff576,3377,FL,2016-10-03T16:00:00.000Z,99085,Martin (County),Hurricane
EM,57f69293c7e7c327077ff583,3377,FL,2016-10-03T16:00:00.000Z,99099,Palm Beach (County),Hurricane
EM,57f69293c7e7c327077ff577,3377,FL,2016-10-03T16:00:00.000Z,99095,Orange (County),Hurricane
EM,57f69293c7e7c327077ff575,3377,FL,2016-10-03T16:00:00.000Z,99053,Hernando (County),Hurricane
EM,57f69293c7e7c327077ff581,3377,FL,2016-10-03T16:00:00.000Z,99061,Indian River (County),Hurricane
DR,580a755f289b6425072ddcdd,4280,FL,2016-08-31T04:00:00.000Z,99039,Gadsden (County),Hurricane
DR,580a755e289b6425072ddcdc,4280,FL,2016-08-31T04:00:00.000Z,99023,Columbia (County),Hurricane
DR,57ec0685c7e7c327077fbbea,4280,FL,2016-08-31T04:00:00.000Z,99103,Pinellas (County),Hurricane
DR,57ec0685c7e7c327077fbbe9,4280,FL,2016-08-31T04:00:00.000Z,99073,Leon (County),Hurricane
DR,57ec0685c7e7c327077fbbed,4280,FL,2016-08-31T04:00:00.000Z,99121,Suwannee (County),Hurricane
DR,57ec0685c7e7c327077fbbe6,4280,FL,2016-08-31T04:00:00.000Z,99067,Lafayette (County),Hurricane
DR,57ec0685c7e7c327077fbbe7,4280,FL,2016-08-31T04:00:00.000Z,99101,Pasco (County),Hurricane
DR,57ec0685c7e7c327077fbbe5,4280,FL,2016-08-31T04:00:00.000Z,99029,Dixie (County),Hurricane
DR,57ec0685c7e7c327077fbbec,4280,FL,2016-08-31T04:00:00.000Z,99075,Levy (County),Hurricane
DR,57ec0685c7e7c327077fbbe8,4280,FL,2016-08-31T04:00:00.000Z,99037,Franklin (County),Hurricane
DR,57ec0685c7e7c327077fbbeb,4280,FL,2016-08-31T04:00:00.000Z,99053,Hernando (County),Hurricane
DR,57ec0685c7e7c327077fbbf1,4280,FL,2016-08-31T04:00:00.000Z,99017,Citrus (County),Hurricane
DR,57ec0685c7e7c327077fbbef,4280,FL,2016-08-31T04:00:00.000Z,99077,Liberty (County),Hurricane
DR,57ec0685c7e7c327077fbbf4,4280,FL,2016-08-31T04:00:00.000Z,99129,Wakulla (County),Hurricane
DR,57ec0685c7e7c327077fbbf3,4280,FL,2016-08-31T04:00:00.000Z,99079,Madison (County),Hurricane
DR,57eec59ec7e7c327077fcb38,4280,FL,2016-08-31T04:00:00.000Z,99083,Marion (County),Hurricane
DR,57eec59ec7e7c327077fcb37,4280,FL,2016-08-31T04:00:00.000Z,99041,Gilchrist (County),Hurricane
DR,57ec0685c7e7c327077fbbee,4280,FL,2016-08-31T04:00:00.000Z,99057,Hillsborough (County),Hurricane
DR,57ec0685c7e7c327077fbbf0,4280,FL,2016-08-31T04:00:00.000Z,99123,Taylor (County),Hurricane
DR,57ec0685c7e7c327077fbbf2,4280,FL,2016-08-31T04:00:00.000Z,99065,Jefferson (County),Hurricane
DR,57eec59ec7e7c327077fcb36,4280,FL,2016-08-31T04:00:00.000Z,99001,Alachua (County),Hurricane
DR,57eec59ec7e7c327077fcb35,4280,FL,2016-08-31T04:00:00.000Z,99119,Sumter (County),Hurricane
DR,57eec59ec7e7c327077fcb33,4280,FL,2016-08-31T04:00:00.000Z,99115,Sarasota (County),Hurricane
DR,57eec59ec7e7c327077fcb34,4280,FL,2016-08-31T04:00:00.000Z,99081,Manatee (County),Hurricane
DR,57eec59ec7e7c327077fcb32,4280,FL,2016-08-31T04:00:00.000Z,99125,Union (County),Hurricane
DR,57eec59dc7e7c327077fcb31,4280,FL,2016-08-31T04:00:00.000Z,99003,Baker (County),Hurricane
DR,57ebf879c7e7c327077fbbbc,4280,FL,2016-08-31T00:00:00.000Z,None,,Hurricane
DR,54f4fbc7df7009de48213f4e,4177,FL,2014-04-28T04:01:00.000Z,99113,Santa Rosa (County),Severe Storm(s)
DR,54f4fbc7df7009de48213f4d,4177,FL,2014-04-28T04:01:00.000Z,99013,Calhoun (County),Severe Storm(s)
DR,54f4fbc8df7009de482141ab,4177,FL,2014-04-28T04:01:00.000Z,99033,Escambia (County),Severe Storm(s)
DR,54f4fbc8df7009de482141ac,4177,FL,2014-04-28T04:01:00.000Z,99131,Walton (County),Severe Storm(s)
DR,54f4fbc8df7009de48214408,4177,FL,2014-04-28T04:01:00.000Z,99059,Holmes (County),Severe Storm(s)
DR,54f4fbc9df7009de48214666,4177,FL,2014-04-28T04:01:00.000Z,99063,Jackson (County),Severe Storm(s)
DR,54f4fbc8df7009de48214409,4177,FL,2014-04-28T04:01:00.000Z,99133,Washington (County),Severe Storm(s)
DR,54f4fbc9df7009de482148c3,4177,FL,2014-04-28T04:01:00.000Z,99005,Bay (County),Severe Storm(s)
DR,54f4fbc9df7009de482148c4,4177,FL,2014-04-28T04:01:00.000Z,99091,Okaloosa (County),Severe Storm(s)
DR,54f4fbc8df7009de48214150,4138,FL,2013-07-02T04:00:00.000Z,99005,Bay (County),Severe Storm(s)
DR,54f4fbc8df7009de482143ad,4138,FL,2013-07-02T04:00:00.000Z,99059,Holmes (County),Severe Storm(s)
DR,54f4fbc9df7009de4821460b,4138,FL,2013-07-02T04:00:00.000Z,99131,Walton (County),Severe Storm(s)
DR,54f4fbc9df7009de48214869,4138,FL,2013-07-02T04:00:00.000Z,99133,Washington (County),Severe Storm(s)
DR,54f4fbc7df7009de482140d4,4084,FL,2012-08-27T04:00:00.000Z,99005,Bay (County),Hurricane
